,switch,class,number,time,queue,
0,1,1,1,1629347652.28843,x,Epoch Time: 1629347652.297989364 seconds
0,2,1,1,1629347652.29264,x,Epoch Time: 1629347652.299038561 seconds
0,1,2,1,1629347652.29362,x,Epoch Time: 1629347652.298282571 seconds
0,2,2,1,1629347652.29466,x,Epoch Time: 1629347652.299276543 seconds
0,1,3,1,1629347652.29562,x,Epoch Time: 1629347652.298574273 seconds
0,2,3,1,1629347652.29661,x,Epoch Time: 1629347652.299504492 seconds
0,1,2,2,1629347652.29987,x,Epoch Time: 1629347652.304101529 seconds
0,2,2,2,1629347652.30089,x,Epoch Time: 1629347652.304573058 seconds
0,1,1,2,1629347652.30191,x,Epoch Time: 1629347652.304323633 seconds
0,2,1,2,1629347652.3029,x,Epoch Time: 1629347652.304807973 seconds
0,1,2,3,1629347652.3051,x,Epoch Time: 1629347652.307248374 seconds
0,2,2,3,1629347652.30611,x,Epoch Time: 1629347652.307505497 seconds
0,1,2,4,1629347652.30781,x,Epoch Time: 1629347652.310104914 seconds
0,1,1,3,1629347652.30903,x,Epoch Time: 1629347652.310329527 seconds
0,2,2,4,1629347652.3108,x,Epoch Time: 1629347652.316135546 seconds
0,2,1,3,1629347652.31181,x,Epoch Time: 1629347652.316375861 seconds
0,1,2,5,1629347652.31277,x,Epoch Time: 1629347652.317844991 seconds
0,2,2,5,1629347652.31672,x,Epoch Time: 1629347652.320528331 seconds
0,1,2,6,1629347652.31846,x,Epoch Time: 1629347652.321826841 seconds
0,1,1,4,1629347652.31951,x,Epoch Time: 1629347652.322059223 seconds
0,2,1,4,1629347652.32083,x,Epoch Time: 1629347652.329832587 seconds
0,2,2,6,1629347652.32238,x,Epoch Time: 1629347652.330105756 seconds
0,1,2,7,1629347652.32365,x,Epoch Time: 1629347652.330361590 seconds
0,2,2,7,1629347652.33081,x,Epoch Time: 1629347652.337691674 seconds
0,1,1,5,1629347652.33216,x,Epoch Time: 1629347652.338006233 seconds
0,2,1,5,1629347652.33319,x,Epoch Time: 1629347652.338251645 seconds
0,1,3,2,1629347652.33421,x,Epoch Time: 1629347652.338542523 seconds
0,2,3,2,1629347652.33555,x,Epoch Time: 1629347652.338776040 seconds
0,1,2,8,1629347652.33655,x,Epoch Time: 1629347652.339020455 seconds
0,2,2,8,1629347652.33934,x,Epoch Time: 1629347652.342701126 seconds
0,1,1,6,1629347652.34061,x,Epoch Time: 1629347652.342957771 seconds
0,2,1,6,1629347652.34163,x,Epoch Time: 1629347652.343208777 seconds
0,1,1,7,1629347652.34804,x,Epoch Time: 1629347652.350355701 seconds
0,2,1,7,1629347652.34922,x,Epoch Time: 1629347652.350744127 seconds
0,1,1,8,1629347652.35553,x,Epoch Time: 1629347652.362829326 seconds
0,2,1,8,1629347652.3566,x,Epoch Time: 1629347652.363139005 seconds
0,1,1,9,1629347652.36354,x,Epoch Time: 1629347652.366679529 seconds
0,2,1,9,1629347652.36492,x,Epoch Time: 1629347652.367024890 seconds
0,1,1,10,1629347652.37238,x,Epoch Time: 1629347652.375672997 seconds
0,2,1,10,1629347652.37421,x,Epoch Time: 1629347652.375996073 seconds
0,1,1,11,1629347652.38294,x,Epoch Time: 1629347652.387572260 seconds
0,2,1,11,1629347652.38586,x,Epoch Time: 1629347652.387900944 seconds
0,1,1,12,1629347652.39102,x,Epoch Time: 1629347652.392139110 seconds
0,2,1,12,1629347652.39247,x,Epoch Time: 1629347652.393764005 seconds
0,1,1,13,1629347652.39821,x,Epoch Time: 1629347652.399736181 seconds
0,2,1,13,1629347652.40019,x,Epoch Time: 1629347652.401630123 seconds
0,1,1,14,1629347652.40538,x,Epoch Time: 1629347652.406932595 seconds
0,2,1,14,1629347652.40749,x,Epoch Time: 1629347652.415630485 seconds
0,1,1,15,1629347652.41706,x,Epoch Time: 1629347652.420015746 seconds
0,2,1,15,1629347652.42084,x,Epoch Time: 1629347652.423109134 seconds
0,1,1,16,1629347652.42558,x,Epoch Time: 1629347652.427202970 seconds
0,2,1,16,1629347652.43029,x,Epoch Time: 1629347652.435376980 seconds
0,1,1,17,1629347652.43697,x,Epoch Time: 1629347652.448548375 seconds
0,2,1,17,1629347652.4512,x,Epoch Time: 1629347652.455207049 seconds
0,1,1,18,1629347652.45583,x,Epoch Time: 1629347652.458917413 seconds
0,2,1,18,1629347652.45942,x,Epoch Time: 1629347652.460877812 seconds
0,1,1,19,1629347652.46334,x,Epoch Time: 1629347652.464911593 seconds
0,2,1,19,1629347652.4663,x,Epoch Time: 1629347652.467533524 seconds
0,1,1,20,1629347652.47199,x,Epoch Time: 1629347652.473207507 seconds
0,2,1,20,1629347652.47356,x,Epoch Time: 1629347652.480139123 seconds
